,UserID,ScreenName,Party,BotScore
27,974892441475010560,LaxRon3,Both,0.19466773728450495
37,380854619,dubeypankaj1986,Both,0.05624491210051878
56,134121968,digu12,Both,0.23633691139538376
86,63641152,anuragmehlla,Both,0.300816711527256
90,1461991908,rahulsharmapost,Both,0.13802618960216584
95,78830113,Eagleeye47,Both,0.15881746424200632
107,553644752,Vaibhav38209900,Both,0.0825396626774012
114,237256616,vaidya_sopan,Both,0.11116719108518804
115,21985739,sanjaymatkar,Both,0.06565556198004287
116,2922877454,amol11588,Both,0.49505756400804624
128,2955928831,drmonika_langeh,Both,0.1285158337598371
133,828445355754745856,augustinjacob6,Both,0.11956986651967942
138,385856344,in_lfc_we_trust,Both,0.0825396626774012
142,819375719415513088,SVPSOint,Both,0.14812070832967303
149,400180552,pintunakrani,Both,0.3551862170861128
152,881604271,naashonomics,Both,0.5768086562548855
157,92470977,lokeshdjangada,Both,0.0825396626774012
161,1073086990780755968,Doctor_PSuresh,Both,0.1285158337598371
164,1307062657,A_Baklol,Both,0.07089257330076087
182,1061944632433496064,teluguvoicenews,Both,0.3742667881821624
186,108214460,Rahulscms,Both,0.06565556198004287
187,32981486,SunjayJK,Both,0.1701324265302999
191,800340844280586240,tirtha_sp,Both,0.19466773728450495
198,93640341,Kaushikyegnan,Both,0.1701324265302999
199,38189702,vishhy,Both,0.0825396626774012
208,790195220478513152,santy0333,Both,0.18207903130928815
209,273095909,MohdMuzzammilK,Both,0.09590276214117437
214,103348134,Aravind8,Both,0.037980136466376074
270,1549847046,RashmiShriJS,Both,0.11956986651967942
317,1399239708,teluguinnews,Both,0.23633691139538376
320,427354250,sunilkapoor8,Both,0.3184188561317807
328,119048618,binoy_chacko,Both,0.07651310672792835
330,274400189,INCdilse,Both,0.07651310672792835
332,747162710677217280,indiawestcanad1,Both,0.5565870373496533
333,340415989,HinduGorkha,Both,0.07651310672792835
345,71181611,adeshjain8,Both,0.1285158337598371
353,43855487,bsindia,Both,0.03508264339315584
354,3182669282,kalra_suresh,Both,0.05202936550695904
355,14733819,hatefreeworldX,Both,0.05624491210051878
357,2215696496,KannadaPrabha,Both,0.037980136466376074
359,2894058666,Therajnishyadav,Both,0.07651310672792835
361,1081733529283768321,casathishkv,Both,0.09590276214117437
364,141111844,samirgurav,Both,0.08899515596679244
365,66077197,AshishPawaskar,Both,0.07651310672792835
371,326026391,JaiPoswal1995,Both,0.11956986651967942
378,938440215483445248,neetuseth7,Both,0.22179568769021463
386,711760467383877632,WIONews,Both,0.05202936550695904
387,826638090638876672,angryshubh1,Both,0.11956986651967942
399,1693563372,RoyHirakesh,Both,0.07089257330076087
401,952040768549502976,binoy4578,Both,0.28378247513569405
402,269368613,prashanth86,Both,0.10328573467123618
404,960048608547561472,BasavantaReddy,Both,0.14812070832967303
408,1079343344277471232,Yograjbisht3,Both,0.8358285757752799
419,1644765882,SarafKash,Both,0.25152334764543
420,827731565329399809,Orchha4BJP,Both,0.07089257330076087
427,719886557725990912,krishnakant_75,Both,0.08899515596679244
434,825081107083300865,NeedhiMurasu,Both,0.1285158337598371
440,2961749113,BharatToday,Both,0.3551862170861128
442,1030133666083569664,thenikhilbansal,Both,0.1285158337598371
455,991670755816591360,blankcheck0001,Both,0.6545596461071505
462,829340888233078785,KARTHI44741,Both,0.9726400642588404
469,1069093024955658240,imirshadm,Both,0.14812070832967303
471,75563096,amolagirhe,Both,0.28378247513569405
472,745896230551695360,Indianengin,Both,0.0825396626774012
476,726417797048373248,BhatkhalkarA,Both,0.06565556198004287
477,253883802,mohitverma_,Both,0.08899515596679244
484,141584822,ians_india,Both,0.1701324265302999
485,4921665745,SPrasad80000795,Both,0.5768086562548855
497,941733201990492160,artistviv_ek,Both,0.22179568769021463
509,2600981395,SagarSejpal96,Both,0.300816711527256
512,2590835076,NH_India,Both,0.1701324265302999
513,886545921093156866,SurajSSubraman1,Both,0.6729387518017023
516,261300364,aftabistan,Both,0.13802618960216584
524,38161191,JatinPaul,Both,0.06565556198004287
529,371190753,archu243,Both,0.041106740219567735
533,100463699,SmartWordSmyth,Both,0.06078011352084069
546,1889179298,bimal_pr,Both,0.05624491210051878
561,2404360694,AMAREND34128394,Both,0.5967761711282766
581,2898231613,ImobaNg,Both,0.04811366570775446
605,740590477716623360,bsc10001,Both,0.07651310672792835
607,896400810317406209,SarafIshan,Both,0.28378247513569405
610,810387464317759488,manchibaba,Both,0.1285158337598371
613,923049313478918144,Prem81606107,Both,0.23633691139538376
617,127449616,aashishtyagi,Both,0.10328573467123618
642,965978974416441344,shishir1210,Both,0.09590276214117437
644,4656180373,ramneek_bhasin,Both,0.09590276214117437
656,3557362279,pmaliens,Both,0.10328573467123618
667,2899825692,DC__Dinesh,Both,0.393746460000491
676,14380148,srinivasangopal,Both,0.0825396626774012
680,975332080291692544,RahulVe30091300,Both,0.11116719108518804
688,20427494,sanjaynirupam,Both,0.029913823351421277
699,824706800893071360,RanaHemasagar,Both,0.4336774335329319
701,53624261,SandhyaSridhar,Both,0.10328573467123618
732,1074355525603610625,SatyendraThenua,Both,0.5768086562548855
734,1032934411761672192,Sidd91902935,Both,0.14812070832967303
736,255982326,prof_mshukla,Both,0.05624491210051878
741,711177025621512192,bsaiakhilp,Both,0.11956986651967942
746,873843319,kulishvyas,Both,0.10328573467123618
749,387748838,vinayaksavashe,Both,0.11116719108518804
751,97718490,GopiSpeaks,Both,0.11956986651967942
756,2825541957,HarshKothari001,Both,0.08899515596679244
759,2192199577,fairleft,Both,0.07651310672792835
770,1078724338902278145,GuruPrashanth_r,Both,0.10328573467123618
784,737885567719985152,sanjay_samras,Both,0.11116719108518804
787,816016218176032768,desi_buoy,Both,0.7564524646655568
803,2467287937,IAmRohanR,Both,0.07651310672792835
811,2839591459,JKV71,Both,0.6545596461071505
812,112198273,mahakapi,Both,0.10328573467123618
